rx_data_id (OUT),end_device_id (OUT),gateway_id (OUT),received_time (OUT),sequence_number (OUT),port (OUT),radio_id (OUT),channel (OUT),snr_db (OUT),rssi_dbm (OUT),frequency_hz (OUT),modulation_type (OUT),data_rate (OUT),coding_rate (OUT),adr (OUT),payload (OUT)
103550,303636326E398D17,7276FF0039030A46,1665665486,51,2,0,2,8.000000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103551,3036363264397D0B,7276FF0039030A46,1665665486,65,2,0,0,9.500000,-45,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103552,303636326B39820B,7276FF0039030A46,1665665486,42,2,0,0,8.800000,-58,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103553,303636326739830B,7276FF0039030A46,1665665491,33,2,0,2,8.800000,-41,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103554,303636328039740A,7276FF0039030A46,1665665493,3,2,0,0,11.500000,-43,868100000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103555,303636326E398D17,7276FF0039030A46,1665665496,52,2,0,2,7.200000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103556,3036363264397D0B,7276FF0039030A46,1665665496,66,2,0,0,10.200000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103557,303636326B39820B,7276FF0039030A46,1665665496,43,2,0,2,7.500000,-50,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103558,303636326739830B,7276FF0039030A46,1665665501,34,2,0,2,7.500000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103559,303636328039740A,7276FF0039030A46,1665665503,4,2,0,1,12.500000,-47,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103560,303636326E398D17,7276FF0039030A46,1665665506,53,2,0,0,10.500000,-52,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103561,3036363264397D0B,7276FF0039030A46,1665665506,67,2,0,1,8.500000,-45,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103562,303636326B39820B,7276FF0039030A46,1665665506,44,2,0,1,10.000000,-52,868300000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103563,303636326739830B,7276FF0039030A46,1665665511,35,2,0,0,9.800000,-45,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103564,303636328039740A,7276FF0039030A46,1665665513,5,2,0,1,12.000000,-48,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103565,303636326E398D17,7276FF0039030A46,1665665516,54,2,0,0,9.800000,-52,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103566,3036363264397D0B,7276FF0039030A46,1665665516,68,2,0,0,9.500000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103567,303636326B39820B,7276FF0039030A46,1665665516,45,2,0,2,8.200000,-48,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103568,303636326739830B,7276FF0039030A46,1665665521,36,2,0,2,7.800000,-44,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103569,303636328039740A,7276FF0039030A46,1665665523,6,2,0,2,10.000000,-47,868500000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103570,303636326E398D17,7276FF0039030A46,1665665526,55,2,0,1,9.200000,-52,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103571,3036363264397D0B,7276FF0039030A46,1665665526,69,2,0,2,7.000000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103572,303636326B39820B,7276FF0039030A46,1665665526,46,2,0,2,7.500000,-51,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103573,303636326739830B,7276FF0039030A46,1665665531,37,2,0,0,10.000000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103574,303636326E398D17,7276FF0039030A46,1665665536,56,2,0,0,10.200000,-49,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103575,3036363264397D0B,7276FF0039030A46,1665665536,70,2,0,2,7.500000,-44,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103576,303636326B39820B,7276FF0039030A46,1665665536,47,2,0,2,7.800000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103577,303636326739830B,7276FF0039030A46,1665665541,38,2,0,2,7.500000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103578,303636326E398D17,7276FF0039030A46,1665665546,57,2,0,1,10.000000,-49,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103579,3036363264397D0B,7276FF0039030A46,1665665546,71,2,0,2,7.200000,-44,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103580,303636326B39820B,7276FF0039030A46,1665665546,48,2,0,2,8.000000,-51,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103581,303636326739830B,7276FF0039030A46,1665665551,39,2,0,0,9.500000,-43,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103582,303636326E398D17,7276FF0039030A46,1665665556,58,2,0,2,8.200000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103583,3036363264397D0B,7276FF0039030A46,1665665556,72,2,0,2,7.800000,-55,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103584,303636326B39820B,7276FF0039030A46,1665665556,49,2,0,1,8.800000,-53,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103585,303636326739830B,7276FF0039030A46,1665665561,40,2,0,1,9.200000,-47,868300000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103586,303636326E398D17,7276FF0039030A46,1665665566,59,2,0,2,7.800000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103587,3036363264397D0B,7276FF0039030A46,1665665566,73,2,0,2,8.000000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103588,303636326B39820B,7276FF0039030A46,1665665566,50,2,0,0,8.800000,-51,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103589,303636326739830B,7276FF0039030A46,1665665571,41,2,0,2,7.200000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103590,303636326E398D17,7276FF0039030A46,1665665576,60,2,0,0,10.200000,-51,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103591,3036363264397D0B,7276FF0039030A46,1665665576,74,2,0,2,6.800000,-53,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103592,303636326B39820B,7276FF0039030A46,1665665576,51,2,0,0,9.000000,-49,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103593,303636326739830B,7276FF0039030A46,1665665581,42,2,0,0,8.800000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103594,303636326E398D17,7276FF0039030A46,1665665586,61,2,0,2,6.500000,-50,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103595,3036363264397D0B,7276FF0039030A46,1665665586,75,2,0,0,9.200000,-52,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103596,303636326B39820B,7276FF0039030A46,1665665586,52,2,0,2,7.200000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103597,303636326739830B,7276FF0039030A46,1665665591,43,2,0,2,8.000000,-43,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103598,303636326E398D17,7276FF0039030A46,1665665596,62,2,0,0,8.200000,-53,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103599,3036363264397D0B,7276FF0039030A46,1665665596,76,2,0,0,10.000000,-57,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103600,303636326B39820B,7276FF0039030A46,1665665596,53,2,0,2,8.200000,-44,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103601,303636326739830B,7276FF0039030A46,1665665601,44,2,0,0,10.500000,-46,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103602,303636326E398D17,7276FF0039030A46,1665665606,63,2,0,0,9.800000,-58,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103603,3036363264397D0B,7276FF0039030A46,1665665606,77,2,0,0,10.200000,-53,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
